case_id,count
37236643,2
38754067,2
32364989,2
32406357,2
37519610,2
35322536,2
35458450,2
39392522,2
39040088,2
39237505,2
32392209,2
31701200,2
37605206,2
32237696,2
39777033,2
34166534,2
36542228,2
30177108,2
35147626,2
34348454,2
30144342,2
31865211,2
33844784,2
39193376,2
30139134,2
38992239,2
30070788,2
31915004,2
35227466,2
39315787,2
31537098,2
35469673,2
30352947,2
30146250,2
36210720,2
38779146,2
39110852,2
32933516,2
34221992,2
38829807,2
37387247,2
38450334,2
32203506,2
37503502,2
39786306,2
31383768,2
31985694,2
34844940,2
31415336,2
35538730,2
37478803,2
38601728,2
38125865,2
39024451,2
37879243,2
38379691,2
36867329,2
33869368,2
39473100,2
36838866,2
31540440,2
37383356,2
39562988,2
37335736,2
34844601,2
30897946,2
31216857,2
37736312,2
31765894,2
39303683,2
32405354,2
34028107,2
34321496,2
32977142,2
37434536,2
38087483,2
31882120,2
35165702,2
37594956,2
34848539,2
33870597,2
36664053,2
38609030,2
37313194,2
37213657,2
34317330,2
36770999,2
33155241,2
30965534,2
31145361,2
30144685,2
31162111,2
35051391,2
38440650,2
30278836,2
30395707,2
34864518,2
34177663,2
37246036,2
33631563,2
35517184,2
31618237,2
35822222,2
39712506,2
30206961,2
32965230,2
31521805,2
31725033,2
38604724,2
36873139,2
35626603,2
36343993,2
38718099,2
34594351,2
39319858,2
31291244,2
34539686,2
38446102,2
38016499,2
39242287,2
33116987,2
30148102,2
37594143,2
36006962,2
32812845,2
34524997,2
34247145,2
34197466,2
32443112,2
39298834,2
32153677,2
36755189,2
38991479,2
31612971,2
39496530,2
36053413,2
32404086,2
32589516,2
36423465,2
31402182,2
39376941,2
33707674,2
38241719,2
39325120,2
36304830,2
35187449,2
30140685,2
